id,farm_id,length,width,deep
16053,7941,49.27,36.96,2.0
30350,8409,20.0,15.7,1.2
32206,8368,40.0,15.0,1.0
34710,8470,70.71,70.71,1.5
32214,9044,36.51,27.39,1.4
18355,8306,58.88,44.16,1.6
19152,9501,87.51,65.64,1.5
19189,7941,66.77,50.08,2.0
32730,8304,64.0,14.0,1.5
12552,9103,61.1,45.83,1.5
24570,10324,10.71,8.03,1.0
31460,8529,55.29,41.47,1.2
32257,8373,40.0,25.0,1.0
36830,2410,32.0,32.0,1.3
35456,5993,100.0,25.0,1.2
12521,9375,56.57,42.43,1.5
12545,9103,60.0,45.0,1.2
18356,8306,39.5,29.62,1.6
39157,2300,50.0,40.0,1.4
32246,7996,40.0,40.0,1.5
2,8333,37.3,29.0,1.1
7384,8321,71.18,53.39,1.25
39725,8393,38.0,18.0,1.0
12277,10202,36.51,27.39,1.0
32192,8312,35.59,28.1,1.0
19198,9789,20.0,15.0,1.3
31329,8332,3.5,2.0,0.9
34187,3593,35.0,35.0,1.2
34698,8470,70.71,70.71,1.5
36829,2410,32.0,32.0,1.3
21960,9653,57.74,43.3,1.5
31478,8052,32.0,31.25,150.0
32247,10605,40.0,40.0,1.2
32370,9693,50.0,50.0,1.4
20102,8541,40.0,56.25,1.2
33362,5432,40.0,30.0,1.2
34732,8470,70.71,70.71,1.5
38252,10229,50.0,50.0,1.2
31466,8367,56.63,42.47,1.5
34716,8470,70.71,70.71,1.5
34977,10325,50.0,56.0,1.5
38367,9751,40.0,40.0,1.2
39615,7415,30.0,35.0,2.0
39889,8442,40.0,25.0,1.8
18357,8306,48.72,36.54,1.6
18389,8306,21.6,16.2,1.6
31459,8529,55.52,41.64,1.2
32319,10288,25.0,30.0,1.4
36826,2410,32.0,32.0,1.3
37074,8311,25.0,20.0,1.3
20902,10325,51.0,57.0,1.5
32252,10465,50.0,30.0,1.8
36139,8699,27.0,25.0,1.5
38591,10326,22.0,42.0,1.0
32188,7997,34.64,25.98,1.0
32640,8405,47.05,35.28,1.2
33270,869,40.0,25.0,1.0
14350,9070,37.24,27.93,1.1
32306,9225,44.71,33.55,1.7
33522,8286,40.0,40.0,2.0
36087,10248,55.0,55.0,1.2
36811,2410,32.0,32.0,1.3
25401,6206,43.2,32.4,1.4
33364,9463,40.0,40.0,1.3
34697,8470,70.71,70.71,1.5
34708,8470,70.71,70.71,1.5
7370,8321,63.25,47.43,1.25
7387,8321,63.25,47.43,1.25
20910,10325,54.0,27.0,1.5
32217,2526,32.0,60.0,1.2
34702,8470,70.71,70.71,1.5
34715,8470,70.71,70.71,1.5
9986,8335,68.31,51.23,1.35
18393,8306,21.6,16.2,1.6
20903,10325,56.0,58.0,1.5
23703,8318,38.3,28.72,
31454,8529,55.55,41.66,1.2
37100,8506,30.0,14.5,1.5
37801,9840,29.0,28.0,1.0
24193,5275,53.0,25.0,2.0
32892,9502,40.0,40.0,1.5
19194,9789,20.0,15.0,1.3
31247,10672,32.0,32.0,1.2
37707,9516,30.0,26.0,1.3
27259,8541,30.0,48.34,1.3
31477,8052,32.31,24.23,150.0
31480,8052,54.26,40.69,150.0
32198,4466,40.0,35.0,1.0
38259,10229,50.0,50.0,1.2
38760,4540,65.0,36.2,2.0
7369,8321,61.1,45.83,1.25
12537,9103,54.16,40.62,1.2
32212,7767,40.0,35.0,1.0
32324,8315,40.0,40.0,1.2
34491,8530,33.0,32.0,1.8
18354,8306,59.78,44.83,1.6
20923,10325,53.0,56.0,1.5
31258,8299,47.5,35.0,1.2
36789,8321,15.0,15.0,1.5
21965,9653,57.74,43.3,1.5
35565,8898,40.0,35.0,1.2
22418,6206,40.0,30.0,1.4
31335,8332,3.5,2.0,0.9
34031,8051,25.0,13.0,1.0
18211,8921,44.72,44.72,1.5
33946,7926,30.0,30.0,1.5
16690,9070,40.0,40.0,1.1
31877,8529,55.85,41.88,1.2
34718,8470,70.71,70.71,1.5
12547,9103,57.74,43.3,1.5
14351,9070,42.27,31.7,1.1
32236,6868,30.0,30.0,1.65
33965,8293,80.0,30.0,1.0
31256,8299,49.5,38.0,1.2
32218,2526,30.0,28.0,1.2
32296,8371,59.0,35.0,1.0
34695,8470,70.71,70.71,1.5
34721,8470,70.71,70.71,1.5
37708,9516,30.0,26.0,1.3
38725,8997,60.0,35.2,2.0
34025,2652,26.0,16.0,1.2
34186,3593,30.0,29.0,1.2
36832,2410,32.0,32.0,1.3
7366,8321,63.25,47.43,1.25
25398,6206,41.63,31.22,1.4
27104,10250,66.68,50.01,
7368,8321,63.25,47.43,1.25
12528,9375,56.57,42.43,1.5
25399,6206,38.3,28.72,1.4
1,8333,37.67,28.25,1.1
16054,7941,54.15,40.61,2.0
20912,10325,55.0,52.0,1.5
31471,8367,56.28,42.21,1.5
32637,8405,49.85,37.39,1.2
37073,8311,30.0,20.0,1.1
38297,5108,31.0,21.0,1.5
34700,8470,70.71,70.71,1.5
32338,8054,40.0,21.5,1.65
34588,10259,35.0,40.0,2.0
36526,8321,53.0,53.0,1.25
31337,8332,3.5,2.0,0.9
36819,2410,32.0,32.0,1.3
19637,9789,20.0,15.0,1.3
34706,8470,70.71,70.71,1.5
37346,2660,40.0,40.0,1.2
38763,4540,70.0,40.74,2.0
21959,9653,57.74,43.3,1.5
32790,1739,21.0,50.0,1.5
38737,8559,60.0,40.84,2.0
33291,3,30.0,25.0,1.0
38262,10229,50.0,50.0,1.2
38465,7415,30.0,30.0,2.0
6740,8755,63.25,47.43,2.0
7371,8321,51.64,38.73,1.25
12540,9103,73.94,55.45,1.2
32399,8903,45.0,45.0,2.0
32636,8310,37.0,40.0,1.2
40876,8408,222.5,40.0,1.5
12087,8385,46.19,34.64,1.6
21967,9653,57.74,43.3,1.5
32233,8307,30.0,30.0,1.6
32300,8296,36.0,27.0,1.2
36117,10248,55.0,55.0,1.2
31462,8367,54.26,40.69,1.5
31465,8367,55.92,41.94,1.5
32210,6505,30.0,30.0,1.0
34429,8316,40.0,40.0,1.0
34575,8394,35.0,35.0,1.4
13266,9501,68.31,51.23,1.5
20909,10325,55.0,55.0,1.5
30343,8314,3.0,3.0,1.0
35494,9380,80.0,50.0,1.0
35546,10465,51.0,40.0,1.2
31651,8320,40.0,30.0,1.5
32248,3009,30.0,30.0,1.0
33317,8532,20.0,20.0,1.6
34720,8470,70.71,70.71,1.5
36656,8326,48.5,37.3,1.1
32259,8330,30.0,30.0,1.0
33526,8286,42.43,31.82,2.0
38729,8997,60.0,37.53,2.0
34717,8470,70.71,70.71,1.5
36088,10248,57.0,57.0,1.2
38758,4540,50.0,35.5,2.0
32401,8051,35.7,21.0,1.0
20918,10325,51.0,50.0,1.5
24758,9308,25.0,25.0,1.2
31442,8405,52.18,39.13,1.2
34724,8470,70.71,70.71,1.5
38790,8303,30.0,30.0,0.8
38250,10229,50.0,50.0,1.2
38467,8334,25.0,25.0,1.5
38744,8559,50.0,34.2,2.0
25578,8383,47.61,35.71,1.7
37065,2660,40.0,40.0,1.2
33163,8328,21.9,21.9,1.5
34711,8470,70.71,70.71,1.5
20106,8541,40.0,52.5,1.3
34691,8470,70.71,70.71,1.5
38265,10229,50.0,50.0,1.2
38364,9751,40.0,40.0,1.2
13249,2527,54.83,41.12,3.0
24265,10235,28.28,21.21,1.0
28946,8730,40.0,30.0,
34703,8470,70.71,70.71,1.5
36835,2410,32.0,32.0,1.3
38253,10229,50.0,50.0,1.2
7385,8321,64.59,47.59,1.25
19188,7941,64.47,48.35,2.0
33523,8286,45.0,40.0,2.0
33758,7996,40.0,40.0,1.0
38476,8369,19.0,14.0,1.0
32295,8289,100.0,25.0,0.7
33365,9463,32.0,32.0,1.3
34719,8470,70.71,70.71,1.5
38263,10229,50.0,50.0,1.2
38368,9751,40.0,40.0,1.2
12549,9103,58.88,44.16,1.5
33297,10967,28.0,24.0,150.0
31250,10672,53.5,33.5,1.2
32231,8308,40.0,30.0,1.2
37061,2660,40.0,40.0,1.2
18350,8306,45.31,33.99,1.6
30349,8409,20.0,20.0,1.2
31457,8529,55.41,41.56,1.2
32216,6282,40.0,20.0,2.0
34705,8470,70.71,70.71,1.5
38699,8053,17.0,15.0,1.0
14352,9070,45.31,33.99,1.1
36969,9384,34.0,34.0,1.5
20917,10325,53.0,52.0,1.5
34693,8470,70.71,70.71,1.5
5,8333,45.81,34.36,1.1
20914,10325,54.0,28.0,1.5
31333,8332,3.5,2.0,0.9
32939,8325,26.5,26.4,1.6
38258,10229,50.0,50.0,1.2
31875,8529,55.36,41.52,1.2
34731,8470,70.71,70.71,1.5
38260,10229,50.0,50.0,1.2
19651,9789,20.0,15.0,1.3
21964,9653,57.74,43.3,1.5
35778,8402,25.0,25.0,1.2
36818,2410,32.0,32.0,1.3
38248,10229,50.0,50.0,1.2
40388,10263,42.0,36.0,2.0
4,8333,49.14,36.85,0.9
34690,8470,70.71,70.71,1.5
34727,8470,70.71,70.71,1.5
12085,8385,46.19,34.64,1.6
19154,9501,70.4,52.8,1.5
19169,9789,20.0,15.0,1.3
21972,9653,40.0,36.0,1.5
25400,6206,40.0,30.0,1.4
31374,2465,16.0,16.0,1.2
32185,6142,35.0,31.4,1.0
32197,8309,30.0,30.0,1.0
32249,3009,30.0,30.0,1.0
32294,8790,50.0,50.0,1.0
18351,8306,69.67,52.25,1.6
20107,8541,40.0,48.0,1.3
32273,8106,20.0,20.0,1.8
37064,2660,40.0,40.0,1.2
38261,10229,50.0,50.0,1.2
19173,9501,61.42,46.06,1.5
30607,8933,50.0,38.0,1.2
33335,6513,40.0,40.0,1.4
33525,8286,40.0,40.0,2.0
36250,8761,30.0,40.0,1.2
14349,9070,41.79,31.34,1.1
30788,9806,15.0,5.0,1.5
33318,8532,40.0,41.0,1.6
35562,8898,45.0,40.0,1.2
37101,8506,30.0,14.5,1.5
21966,9653,57.74,43.3,1.5
35754,8339,35.0,40.0,2.0
36823,2410,32.0,32.0,1.3
38724,8997,60.0,37.6,2.0
38791,6084,35.0,20.0,1.0
34722,8470,70.71,70.71,1.5
34733,8470,70.71,70.71,1.5
30609,8933,50.0,37.0,1.4
31876,8529,54.55,40.91,1.2
32458,8319,60.0,30.0,1.0
34689,8470,70.71,70.71,1.5
35568,8898,50.0,40.0,1.2
35760,2666,47.0,38.0,1.5
36293,6081,65.0,62.0,1.0
13269,9501,70.0,51.07,1.5
30608,8933,50.0,40.0,1.3
34687,8470,70.71,70.71,1.5
20911,10325,56.0,57.0,1.5
34725,8470,70.71,70.71,1.5
35986,1662,50.0,36.6,1.0
7388,8321,63.25,47.43,1.25
12548,9103,54.16,40.62,1.5
13251,2527,51.9,38.92,3.0
18212,8921,44.72,44.72,1.5
18394,8306,26.52,19.89,1.6
31444,8405,52.94,39.71,1.2
6738,8755,36.51,27.39,2.5
28942,8730,43.2,32.4,
31481,8052,55.41,41.56,150.0
37063,2660,40.0,40.0,1.2
38470,10239,33.0,33.0,1.0
12574,9103,63.25,47.43,1.5
31878,8529,54.59,40.94,1.2
34427,8316,40.0,40.0,1.0
6,8333,47.1,31.8,0.9
32244,6259,25.0,30.0,1.5
34729,8470,70.71,70.71,1.5
18213,8921,44.78,44.78,1.5
18392,8306,51.64,38.73,1.6
21963,9653,46.19,34.64,1.5
31461,8529,54.81,41.11,1.2
32228,9794,34.64,34.64,1.7
35567,8898,50.0,40.0,1.2
37209,4459,26.0,25.0,1.2
19174,9501,69.04,51.78,1.5
32505,10255,25.0,30.0,1.5
33136,10288,40.0,40.0,1.4
12542,9103,58.88,44.16,1.2
12568,9103,54.16,40.62,1.5
13268,9501,70.0,51.07,1.5
21974,9653,57.74,43.3,1.5
33328,8763,42.0,43.0,0.8
34688,8470,70.71,70.71,1.5
34723,8470,70.71,70.71,1.5
33358,8284,32.0,32.0,1.2
36822,2410,32.0,32.0,1.3
23998,10232,46.19,34.64,1.0
20901,10325,58.0,64.0,1.5
33527,8286,29.44,22.08,2.0
22419,6206,41.63,31.22,1.4
31659,7941,42.5,40.0,2.0
36099,10248,55.0,55.0,1.2
7367,8321,63.25,47.43,1.25
24013,7835,33.67,25.25,1.2
31253,10672,40.0,28.0,1.2
33516,8417,30.0,35.0,1.3
36814,2410,32.0,32.0,1.3
13252,2527,50.99,38.24,3.0
31344,10202,62.0,18.0,1.0
33025,8383,76.0,48.0,1.7
34730,8470,70.71,70.71,1.5
36586,8529,55.53,41.65,1.2
13250,2527,53.04,39.78,3.0
38366,9751,40.0,40.0,1.2
38502,10806,60.0,24.0,1.0
23701,1000,32.46,24.34,1.5
31443,8405,51.85,38.88,1.2
38700,8053,18.0,20.0,1.0
12088,8385,46.19,34.64,1.6
31469,8367,56.24,42.18,1.5
32702,8452,25.0,25.0,1.0
31451,8405,50.96,38.22,1.2
34694,8470,70.71,70.71,1.5
24271,9331,10.0,20.0,1.8
32309,10158,32.0,32.0,1.4
36583,8529,54.7,41.02,1.2
32209,2543,50.0,34.0,1.0
34709,8470,70.71,70.71,1.5
38514,9840,8.5,8.5,1.0
12272,10202,36.51,27.39,1.0
19196,9789,20.0,15.0,1.3
32305,9225,46.0,35.0,1.7
34696,8470,70.71,70.71,1.5
36831,2410,32.0,32.0,1.3
36834,2410,32.0,32.0,1.3
7,8333,46.5,32.6,1.1
21973,9653,51.64,38.73,1.5
30344,8314,3.0,3.0,1.0
32245,6259,50.0,30.0,1.5
34064,3550,60.0,60.0,1.5
34311,8316,40.0,40.0,1.0
38365,9751,40.0,40.0,1.2
39614,7415,30.0,35.0,2.0
8,8333,48.5,33.0,1.1
7365,8321,63.25,47.43,1.25
16048,7941,42.97,32.23,2.0
32219,8283,30.0,26.0,2.0
12522,9375,63.25,47.43,1.5
30610,8933,50.0,29.0,1.2
31246,10672,33.5,22.0,1.2
31463,8367,55.04,41.28,1.5
32208,8317,28.0,25.0,1.0
32638,8405,52.18,39.13,1.2
20920,10325,50.0,59.0,1.5
21975,9653,51.64,38.73,1.5
32179,8345,34.5,29.0,1.0
32200,5108,30.0,20.0,1.0
34776,8298,32.0,32.0,1.8
12541,9103,60.0,45.0,1.2
24569,10324,25.82,19.36,1.0
32211,7767,36.06,36.06,1.0
32250,5992,30.0,50.0,1.0
32335,8337,60.0,33.35,1.0
33945,7926,30.0,30.0,1.5
34490,8530,33.0,32.0,1.8
35913,8383,55.0,53.0,1.7
38481,7727,18.0,13.0,1.5
12664,8503,36.51,27.39,1.2
32398,8903,45.0,35.0,2.0
13267,9501,56.57,42.43,1.5
20913,10325,45.0,59.0,1.5
32215,6282,90.0,30.0,2.0
35566,8898,40.0,35.0,1.2
12273,10202,36.51,27.39,1.0
31255,10672,54.0,36.0,1.2
32629,8310,37.0,40.0,1.2
12535,9375,57.74,43.3,1.48
32180,8345,34.5,29.0,1.0
32196,8309,30.0,30.0,1.0
18397,8306,19.37,14.53,1.6
32213,10256,95.0,28.0,1.5
7364,8321,55.5,55.5,1.25
16050,7941,50.83,38.12,2.0
31447,8405,53.14,39.86,1.2
31866,8367,45.52,34.14,1.5
34707,8470,70.71,70.71,1.5
34728,8470,70.71,70.71,1.5
36828,2410,32.0,32.0,1.3
27258,8541,37.01,37.02,1.3
31476,8052,53.54,40.16,150.0
36095,10248,55.0,55.0,1.2
37150,10235,36.0,36.0,1.2
3,8333,36.2,46.4,1.1
34726,8470,70.71,70.71,1.5
37103,8699,30.0,27.0,1.5
38592,8375,30.0,18.0,1.0
38761,4540,60.0,32.8,2.0
